DATE,Bananas price per lb
1/1/2019,0.576
2/1/2019,0.571
3/1/2019,0.581
4/1/2019,0.567
5/1/2019,0.579
6/1/2019,0.574
7/1/2019,0.569
8/1/2019,0.578
9/1/2019,0.569
10/1/2019,0.573
11/1/2019,0.573
12/1/2019,0.573
1/1/2020,0.57
2/1/2020,0.574
3/1/2020,0.576
4/1/2020,0.581
5/1/2020,0.589
6/1/2020,0.588
7/1/2020,0.58
8/1/2020,0.576
9/1/2020,0.574
10/1/2020,0.577
11/1/2020,0.578
12/1/2020,0.572
1/1/2021,0.597
2/1/2021,0.59
3/1/2021,0.594
4/1/2021,0.604
5/1/2021,0.6
6/1/2021,0.595
7/1/2021,0.594
8/1/2021,0.589
9/1/2021,0.597
10/1/2021,0.6
11/1/2021,0.619
12/1/2021,0.622
1/1/2022,0.63
2/1/2022,0.628
3/1/2022,0.642
4/1/2022,0.637
5/1/2022,0.642
6/1/2022,0.64
7/1/2022,0.64
8/1/2022,0.643
9/1/2022,0.643
10/1/2022,0.634
11/1/2022,0.631
12/1/2022,0.628
